word,count
great,195349
these,155186
would,118028
sound,111156
quality,106469
works,102626
camera,101803
product,96848
about,96704
price,93010
other,83774
bought,79714
which,74529
there,71767
after,70339
really,66968
because,63800
headphones,62986
better,62669
little,59847
using,58806
cable,53488
still,52574
first,49388
could,48790
recommend,43101
player,42996
problem,42488
computer,40801
years,40236
while,40054
radio,39952
speakers,39497
right,37779
without,37735
small,37447
worked,37176
around,37074
another,36239
thing,35578
their,34649
purchased,34581
since,34526
perfect,34008
light,33786
didnt,33415
enough,33063
power,32755
music,32738
never,32424
battery,32401
excellent,32209
doesnt,31998
before,31829
looking,31521
again,30822
think,30766
money,30697
needed,30250
pictures,30215
problems,30000
should,29864
however,29600
through,28882
found,28216
amazon,28128
mouse,27765
something,26517
though,26462
reviews,26249
pretty,25957
filter,25883
system,25813
laptop,25672
going,25458
canon,25232
digital,25090
working,24984
purchase,24961
cheap,24696
happy,24572
where,24107
tried,24057
every,23986
worth,23732
router,23712
people,23620
software,23257
clear,22731
months,22548
device,22547
batteries,22418
being,22124
those,22067
different,22004
getting,21941
volume,21939
makes,21891
having,21796
wireless,21791
