word,count
amazing,142528
amazon,45475
realize,44217
crazy,29403
realized,25424
size,20188
elizabeth,17398
organized,13695
recognize,12812
organization,12307
realizes,11807
amazed,11584
nazi,10863
koontz,10793
characterization,9894
citizens,9392
magazine,8937
bizarre,8724
amazingly,8311
prize,8288
civilization,7992
zombie,7892
zero,7850
dozen,7470
cozy,7207
puzzle,6989
nazis,6771
lazy,6412
wizard,6185
realizing,5993
recognized,5687
zombies,5647
zone,5605
dozens,5123
organizations,5086
realization,4178
oz,4178
characterizations,4163
pulitzer,4054
citizen,3934
jazz,3797
puzzles,3766
maze,3661
amazoncom,3549
visualize,3435
sympathize,3261
wizards,3163
hazel,3131
zen,3089
z,2961
